#constants:
#sumS2 = sin2A+sin2B+sin2C
#sumT2 = tan2A+tan2B+tan2C
X;name;trilins;irrat
101;Λ(INCENTER,ORTHOCENTER)Ψ(INCENTER,SYMMEDIAN POINT);a/(b-c);F
102;Λ(INCENTER,ORTHOCENTER);a/(2 a4-(b+c)a3-(b-c)^2 a2(b-c)^2 (b+c)a-(b2-c2)^2);F
103;ANTIPODE OF X(101);a/(2 a3-a2(b+c)-(b-c)^2 (b+c));F
104;ANTIPODE OF X(100);1/(b3+c3-(a2+b c)(b+c)+2 a b c);F
105;Λ(INCENTER,SYMMEDIAN POINT);1/(b2+c2-a(b+c));F
106;Λ(INCENTER,CENTROID);a/(2 a-b-c);F
107;Ψ(SYMMEDIAN POINT,ORTHOCENTER);b c/((b2-c2)(b2+c2-a2)^2);F 
108;Ψ(CIRCUMCENTER,INCENTER);1/((b-c)(b+c-a)(b2+c2-a2));F
109;Ψ(INCENTER,CIRCUMCENTER);a/((b-c)(b+c-a));F
110;FOCUS OF KIEPERT PARABOLA;a/(b2-c2);F
111;PARRY POINT;a/(2 a2-b2-c2);F
112;Ψ(ORTHOCENTER,SYMMEDIAN POINT);a/((b2-c2)(b2+c2-a2));
113;JERABEK ANTIPODE;b2/(b2 SA-2 SA SC)+c2/(c2 SC-2 SA SB);F
114;KIEPERT ANTIPODE;(b4+c4-a2 b2-a2 c2)(2 a4+b4+c4-a2 b2-a2 c2-2 b 2 c2)/a;F
115;CENTER OF KIEPERT HYPERBOLA;b c(b2-c2)^2;F
116;MIDPOINT OF X(4) AND X(103);b c((b-c)^2(b2+b c+c2-a b-a c));F
117;MIDPOINT OF X(4) AND X(109);(b2 c)/(c(secB-secC)+a(secB-secA))+(c2 b)/(b(secC-secB)+a(secC-secA));F
118;MIDPOINT OF X(4) AND X(101);(b3 c)/((b-c)/tanA+(b-a)/tanC)+(c3 b)/((c-b)/tanA+(c-a)/tanB);F
119;X(119) = FEUERBACH ANTIPODE;cscA(cosB+cosC-1)(sin2B+sin2C+2(cosA-1)(sinB+sinC));T
